discharge,accumalted current ,SOC,,,charge ,accumalted current,SOC,,,,,,
-259.3,-104300.5,5.178625734,,,245,,,,,,,,
-276.4,-104576.9,5.192349275,,,232.7,,,,,,,,
-267.2,-104844.1,5.205616026,,,247.3,,,,,,,,
-247.6,-105091.7,5.217909618,,,262.3,,,,,,,,
-259.7,-105351.4,5.230803986,,,260.8,,,,,,,,
-205.1,-105556.5,5.24098741,,,258.8,,,,,,,,
-261.8,-105818.3,5.253986046,,,256.5,,,,,,,,
-267.9,-106086.2,5.267287553,,,257.4,,,,,,,,
-269,-106355.2,5.280643676,,,257.3,,,,,,,,
-204.2,-106559.4,5.290782413,,,256.2,,,,,,,,
-230.3,-106789.7,5.302217042,,,255,,,,,,,,
-275.8,-107065.5,5.315910792,,,254.7,,,,,,,,
-243.5,-107309,5.328000814,,,254.6,,,,,,,,
-259.4,-107568.4,5.340880288,,,253.5,,,,,,,,
-268.8,-107837.2,5.354226481,,,221.9,,,,,,,,
-258.4,-108095.6,5.367056303,,,253.2,,,,,,,,
-258.1,-108353.7,5.37987123,,,252,,,,,,,,
-277.3,-108631,5.393639457,,,219.8,,,,,,,,
-259.8,-108890.8,5.40653879,,,251.3,,,,,,,,
-208.6,-109099.4,5.416895992,,,250.8,,,,,,,,
-260.6,-109360,5.429835047,,,250.5,,,,,,,,
-188.4,-109548.4,5.439189298,,,249.7,,,,,,,,
-259.9,-109808.3,5.452093597,,,249,,,,,,,,
-261.5,-110069.8,5.465077338,,,247.8,,,,,,,,
-279.3,-110349.1,5.478944866,,,248,,,,,,,,
-188.7,-110537.8,5.488314013,,,247.3,,,,,,,,
-258.1,-110795.9,5.50112894,,,246.6,,,,,,,,
-262,-111057.9,5.514137506,,,246.4,,,,,,,,
-204.7,-111262.6,5.524301069,,,276,,,,,,,,
-205.2,-111467.8,5.534489457,,,267,,,,,,,,
-268.6,-111736.4,5.54782572,,,245.5,,,,,,,,
-331,-112067.4,5.564260206,,,246.5,,,,,,,,
-265.1,-112332.5,5.57742269,,,244.6,,,,,,,,
-321.5,-112654,5.593385492,,,243.9,,,,,,,,
-275.5,-112929.5,5.607064346,,,270.9,,,,,,,,
-258.9,-113188.4,5.619918994,,,271.1,,,,,,,,
